,var,var_feature,question_type,ui_question_order,ui_type,question,ui_option_order,option_value,question_option,feature_order,score_mean,score_median,score_mode,score_min,score_max,score_stddev
37,high_risk_diag,high_risk_diag_0,child,12,selectbox,"Does patient's medical condition or diagnosis carry a significant risk of complications, severe outcomes, or adverse events?",0.0,0,No,,,,,,,
38,high_risk_diag,high_risk_diag_1,child,12,selectbox,"Does patient's medical condition or diagnosis carry a significant risk of complications, severe outcomes, or adverse events?",1.0,1,Yes,8.0,,,,,,
39,hospitalization_risk_score,hospitalization_risk_score_0,child,13,selectbox,What is the patient's hospitalization risk score?,0.0,0,Zero,,,,,,,
40,hospitalization_risk_score,hospitalization_risk_score_8,child,13,selectbox,What is the patient's hospitalization risk score?,1.0,8,Eight,,,,,,,
41,hospitalization_risk_score,hospitalization_risk_score_9,child,13,selectbox,What is the patient's hospitalization risk score?,2.0,9,Nine,,,,,,,
42,hospitalization_risk_score,hospitalization_risk_score_11,child,13,selectbox,What is the patient's hospitalization risk score?,3.0,11,Eleven,9.0,,,,,,
43,m1028_actv_diag_dm,m1028_actv_diag_dm_0,child,14,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of diabetes mellitus?,0.0,0,No,,,,,,,
44,m1028_actv_diag_dm,m1028_actv_diag_dm_1,child,14,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of diabetes mellitus?,1.0,1,Yes,10.0,,,,,,
45,m1028_actv_diag_pvd_pad,m1028_actv_diag_pvd_pad_0,child,15,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?,0.0,0,No,,,,,,,
46,m1028_actv_diag_pvd_pad,m1028_actv_diag_pvd_pad_1,child,15,selectbox,Does patient have an active diagnosis of comorbidities or co-existing conditions of peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?,1.0,1,Yes,12.0,,,,,,
47,m1028_actv_diag_noa,m1028_actv_diag_noa_0,child,16,selectbox,"Does patient have an active diagnosis of comorbidities or co-existing conditions that is NOT diabetes mellitus, peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?",0.0,0,No,,,,,,,
48,m1028_actv_diag_noa,m1028_actv_diag_noa_1,child,16,selectbox,"Does patient have an active diagnosis of comorbidities or co-existing conditions that is NOT diabetes mellitus, peripheral vascular disease (PVD) or peripheral arterial disease (PAD)?",1.0,1,Yes,11.0,,,,,,
49,m1030_thh_ent_nutrition,m1030_thh_ent_nutrition_0,child,17,selectbox,Does patient receive enteral nutrition therapy at home?,0.0,0,No,,,,,,,
50,m1030_thh_ent_nutrition,m1030_thh_ent_nutrition_1,child,17,selectbox,Does patient receive enteral nutrition therapy at home?,1.0,1,Yes,,,,,,,
51,m1030_thh_par_nutrition,m1030_thh_par_nutrition_0,child,18,selectbox,Does patient receive parenteral nutrition (TPN or lipids) at home?,0.0,0,No,,,,,,,
52,m1030_thh_par_nutrition,m1030_thh_par_nutrition_1,child,18,selectbox,Does patient receive parenteral nutrition (TPN or lipids) at home?,1.0,1,Yes,13.0,,,,,,
53,m1200_vision,m1200_vision_0,child,19,selectbox,What is the patient's current vision status?,0.0,0,"Normal. Sees adequately in most situations; can see medication labels, newsprint",,,,,,,
54,m1200_vision,m1200_vision_1,child,19,selectbox,What is the patient's current vision status?,1.0,1,"Partially Impaired. Cannot see medication labels or newsprint, but can see obstacles in path, and the surrounding layout; can count fingers at arm's length",,,,,,,
55,m1200_vision,m1200_vision_2,child,19,selectbox,What is the patient's current vision status?,2.0,2,Severely Impaired. Cannot locate object without hearing or touching them or patient nonresponsive,19.0,,,,,,
56,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_0,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,0.0,0,Has no pain,20.0,,,,,,
57,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_1,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,1.0,1,Has pain that does not interfere with activity or movement,21.0,,,,,,
58,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_2,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,2.0,2,Has pain but is less often than daily,22.0,,,,,,
59,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_3,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,3.0,3,Has pain daily but not constantly,23.0,,,,,,
60,m1242_pain_freq_actvty_mvmt,m1242_pain_freq_actvty_mvmt_4,child,20,selectbox,What is the patient's frequency of pain that interferes with activity or movement?,4.0,4,Has pain all the time,24.0,,,,,,
61,m1306_unhld_stg2_prsr_ulcr,m1306_unhld_stg2_prsr_ulcr_0,child,21,selectbox,Does patient have at least one unhealed pressure ulcer at stage II or higher?,0.0,0,No,,,,,,,
62,m1306_unhld_stg2_prsr_ulcr,m1306_unhld_stg2_prsr_ulcr_1,child,21,selectbox,Does patient have at least one unhealed pressure ulcer at stage II or higher?,1.0,1,Yes,,,,,,,
63,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_0,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,0.0,0,Zero,,,,,,,
64,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_1,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,1.0,1,One,,,,,,,
65,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_2,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,2.0,2,Two,,,,,,,
66,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_3,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,3.0,3,Three,,,,,,,
67,m1322_nbr_prsulc_stg1,m1322_nbr_prsulc_stg1_4,child,22,selectbox,What is the patient's current number of stage I pressure ulcers?,4.0,4,Four,,,,,,,
68,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_0,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,0.0,0,Not problematic,,,,,,,
69,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_1,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,1.0,1,Stage I,,,,,,,
70,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_2,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,2.0,2,Stage II,,,,,,,
71,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_3,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,3.0,3,Stage III,,,,,,,
72,m1324_stg_prblm_ulcer,m1324_stg_prblm_ulcer_4,child,23,selectbox,What stage is the patient's most problematic unhealed (observable) pressure ulcer?,4.0,4,Stage IV ,,,,,,,
73,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_0,child,24,selectbox,Does patient have a stasis ulcer?,0.0,0,None Observable,,,,,,,
74,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_1,child,24,selectbox,Does patient have a stasis ulcer?,1.0,1,Both Observable and Unobservable,,,,,,,
75,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_2,child,24,selectbox,Does patient have a stasis ulcer?,2.0,2,Observable Only,25.0,,,,,,
76,m1330_stas_ulcr_prsnt,m1330_stas_ulcr_prsnt_3,child,24,selectbox,Does patient have a stasis ulcer?,3.0,3,Unobservable Only,,,,,,,
77,m1340_srgcl_wnd_prsnt,m1340_srgcl_wnd_prsnt_0,child,25,selectbox,Does patient have a surgical wound?,0.0,0,No,26.0,,,,,,
78,m1340_srgcl_wnd_prsnt,m1340_srgcl_wnd_prsnt_1,child,25,selectbox,Does patient have a surgical wound?,1.0,1,Yes. At Least One Observable,27.0,,,,,,
79,m1340_srgcl_wnd_prsnt,m1340_srgcl_wnd_prsnt_2,child,25,selectbox,Does patient have a surgical wound?,2.0,2,Yes. At Least One But Not Observable,28.0,,,,,,
80,m1400_when_dyspneic,m1400_when_dyspneic_0,child,26,selectbox,Is patient dyspneic or noticeably short of breath?,0.0,0,No,29.0,,,,,,
81,m1400_when_dyspneic,m1400_when_dyspneic_1,child,26,selectbox,Is patient dyspneic or noticeably short of breath?,1.0,1,Yes. When walking more than 20 feet or climbing stairs,30.0,,,,,,
82,m1400_when_dyspneic,m1400_when_dyspneic_2,child,26,selectbox,Is patient dyspneic or noticeably short of breath?,2.0,2,"Yes. With moderate exertion (e.g., while dressing, using commode or bedpan, walking distances less than 20 feet)",31.0,,,,,,
83,m1400_when_dyspneic,m1400_when_dyspneic_3,child,26,selectbox,Is patient dyspneic or noticeably short of breath?,3.0,3,"Yes. With minimal exertion (e.g. while eating, talking, or performing other ADLs) or with agitation",,,,,,,
84,m1400_when_dyspneic,m1400_when_dyspneic_4,child,26,selectbox,Is patient dyspneic or noticeably short of breath?,4.0,4,Yes. At rest (during day or night),,,,,,,
85,m1600_uti,m1600_uti_0,child,27,selectbox,Has patient been treated for a urinary tract infection in the past 14 days?,0.0,0,No,,,,,,,
86,m1600_uti,m1600_uti_1,child,27,selectbox,Has patient been treated for a urinary tract infection in the past 14 days?,1.0,1,Yes,32.0,,,,,,
87,m1610_ur_incont,m1610_ur_incont_0,child,28,selectbox,Does patient have urinary incontinence or urinary catheter presence?,0.0,0,No,33.0,,,,,,
88,m1610_ur_incont,m1610_ur_incont_1,child,28,selectbox,Does patient have urinary incontinence or urinary catheter presence?,1.0,1,Yes. Urinary Incontinence,,,,,,,
89,m1610_ur_incont,m1610_ur_incont_2,child,28,selectbox,Does patient have urinary incontinence or urinary catheter presence?,2.0,2,Yes. Urinary Catheter,34.0,,,,,,
90,m1620_bwl_incont,m1620_bwl_incont_0,child,29,selectbox,What is patient's frequency of bowel incontinence?,0.0,0,Very Rarely ,,,,,,,
91,m1620_bwl_incont,m1620_bwl_incont_1,child,29,selectbox,What is patient's frequency of bowel incontinence?,1.0,1,Less than once weekly,35.0,,,,,,
92,m1620_bwl_incont,m1620_bwl_incont_2,child,29,selectbox,What is patient's frequency of bowel incontinence?,2.0,2,One to three times weekly ,,,,,,,
93,m1620_bwl_incont,m1620_bwl_incont_3,child,29,selectbox,What is patient's frequency of bowel incontinence?,3.0,3,Four to six times weekly,,,,,,,
94,m1620_bwl_incont,m1620_bwl_incont_4,child,29,selectbox,What is patient's frequency of bowel incontinence?,4.0,4,On a daily basis,,,,,,,
95,m1620_bwl_incont,m1620_bwl_incont_5,child,29,selectbox,What is patient's frequency of bowel incontinence?,5.0,5,More often than once daily,,,,,,,
96,m1620_bwl_incont,m1620_bwl_incont_6,child,29,selectbox,What is patient's frequency of bowel incontinence?,6.0,6,Has Ostomy for Bowel Elimination,,,,,,,
97,m1630_ostomy,m1630_ostomy_0,child,30,selectbox,Does patient have an ostomy for bowel elimination that was related to an inpatient stay or necessitated a change in medical or treatment regimen?,0.0,0,No,,,,,,,
98,m1630_ostomy,m1630_ostomy_1,child,30,selectbox,Does patient have an ostomy for bowel elimination that was related to an inpatient stay or necessitated a change in medical or treatment regimen?,1.0,1,Yes. Related to an inpatient stay and did not necessitate change in medical or treatment regimen,,,,,,,
99,m1630_ostomy,m1630_ostomy_2,child,30,selectbox,Does patient have an ostomy for bowel elimination that was related to an inpatient stay or necessitated a change in medical or treatment regimen?,2.0,2,Yes. Related to an inpatient stay and did necessitate change in medical or treatment regimen.,,,,,,,
100,m1700_cog_function,m1700_cog_function_0,child,31,selectbox,What is the patient's current level of cognitive functioning?,0.0,0,"Alert/oriented, able to focus and shift attention, comprehends and recalls task directions independently",36.0,,,,,,
101,m1700_cog_function,m1700_cog_function_1,child,31,selectbox,What is the patient's current level of cognitive functioning?,1.0,1,"Requires prompting (cuing, repetition, reminders) only under stressful or unfamiliar conditions",,,,,,,
102,m1700_cog_function,m1700_cog_function_2,child,31,selectbox,What is the patient's current level of cognitive functioning?,2.0,2,"Requires assistance and some direction in specific situations (e.g., on all tasks involving shifting of attention), or consistently requires low stimulus environment due to distractibility",37.0,,,,,,
103,m1700_cog_function,m1700_cog_function_3,child,31,selectbox,What is the patient's current level of cognitive functioning?,3.0,3,Requires considerable assistance in routine situations. Is not alert and oriented or is unable to shift attention and recall directions more than half the time,38.0,,,,,,
104,m1700_cog_function,m1700_cog_function_4,child,31,selectbox,What is the patient's current level of cognitive functioning?,4.0,4,"Totally dependent due to disturbances such as constant disorientation, coma, persistent vegetative state, or delirium",39.0,,,,,,
105,m1710_when_confused,m1710_when_confused_0,child,32,selectbox,"Has patient been confused, reported or observed, within the last 14 days?",0.0,0,Is not confused,40.0,,,,,,
106,m1710_when_confused,m1710_when_confused_1,child,32,selectbox,"Has patient been confused, reported or observed, within the last 14 days?",1.0,1,Is confused in new or complex situations only,,,,,,,
107,m1710_when_confused,m1710_when_confused_2,child,32,selectbox,"Has patient been confused, reported or observed, within the last 14 days?",2.0,2,Confused (reported or observed within the last 14 days) on awakening or at night only,41.0,,,,,,
108,m1710_when_confused,m1710_when_confused_3,child,32,selectbox,"Has patient been confused, reported or observed, within the last 14 days?",3.0,3,"Is confused during the day and evening, but not constantly",,,,,,,
109,m1710_when_confused,m1710_when_confused_4,child,32,selectbox,"Has patient been confused, reported or observed, within the last 14 days?",4.0,4,Is confused constantly,42.0,,,,,,
110,m1710_when_confused,m1710_when_confused_5,child,32,selectbox,"Has patient been confused, reported or observed, within the last 14 days?",5.0,5,Is nonresponsive so cannot tell if confused,43.0,,,,,,
111,m1720_when_anxious,m1720_when_anxious_0,child,33,selectbox,"Has patient been anxious, reported or observed, within the last 14 days?",0.0,0,Not anxious,44.0,,,,,,
112,m1720_when_anxious,m1720_when_anxious_1,child,33,selectbox,"Has patient been anxious, reported or observed, within the last 14 days?",1.0,1,Is anxious less often than daily,45.0,,,,,,
113,m1720_when_anxious,m1720_when_anxious_2,child,33,selectbox,"Has patient been anxious, reported or observed, within the last 14 days?",2.0,2,"Anxious daily, but not constantly",46.0,,,,,,
114,m1720_when_anxious,m1720_when_anxious_3,child,33,selectbox,"Has patient been anxious, reported or observed, within the last 14 days?",3.0,3,Anxious all of the time,47.0,,,,,,
115,m1730_phq2_dprsn,m1730_phq2_dprsn_0,child,34,selectbox,"Is patient currently bothered by feeling down, depressed, or hopeless?",0.0,0,Less Than Once A Day,,,,,,,
116,m1730_phq2_dprsn,m1730_phq2_dprsn_1,child,34,selectbox,"Is patient currently bothered by feeling down, depressed, or hopeless?",1.0,1,Several (2-6) Days,,,,,,,
117,m1730_phq2_dprsn,m1730_phq2_dprsn_2,child,34,selectbox,"Is patient currently bothered by feeling down, depressed, or hopeless?",2.0,2,More Than Half (7-11) Of The Days,48.0,,,,,,
118,m1730_phq2_dprsn,m1730_phq2_dprsn_3,child,34,selectbox,"Is patient currently bothered by feeling down, depressed, or hopeless?",3.0,3,Nearly Every (12-14) Day,49.0,,,,,,
119,m1730_phq2_lack_intrst,m1730_phq2_lack_intrst_0,child,35,selectbox,Is patient currently bothered by little interest or pleasure in doing things?,0.0,0,Less Than Once A Day,,,,,,,
120,m1730_phq2_lack_intrst,m1730_phq2_lack_intrst_1,child,35,selectbox,Is patient currently bothered by little interest or pleasure in doing things?,1.0,1,Several (2-6) Days,,,,,,,
121,m1730_phq2_lack_intrst,m1730_phq2_lack_intrst_2,child,35,selectbox,Is patient currently bothered by little interest or pleasure in doing things?,2.0,2,More Than Half (7-11) Of The Days,50.0,,,,,,
122,m1730_phq2_lack_intrst,m1730_phq2_lack_intrst_3,child,35,selectbox,Is patient currently bothered by little interest or pleasure in doing things?,3.0,3,Nearly Every (12-14) Days,51.0,,,,,,
123,m1740_bd_mem_deficit,m1740_bd_mem_deficit_0,child,36,selectbox,Has patient had a memory deficit demonstrated at least once a week?,0.0,0,Has no memory deficit that has been demonstrated at least once a week,,,,,,,
124,m1740_bd_mem_deficit,m1740_bd_mem_deficit_1,child,36,selectbox,Has patient had a memory deficit demonstrated at least once a week?,1.0,1,Has memory deficit that has been demonstrated at least once a week,52.0,,,,,,
125,m1745_beh_prob_freq,m1745_beh_prob_freq_0,child,37,selectbox,What is patient's frequency of disruptive behavior symptoms?,0.0,0,Never had disruptive behavior symptoms,,,,,,,
126,m1745_beh_prob_freq,m1745_beh_prob_freq_1,child,37,selectbox,What is patient's frequency of disruptive behavior symptoms?,1.0,1,Less than once a month,53.0,,,,,,
127,m1745_beh_prob_freq,m1745_beh_prob_freq_2,child,37,selectbox,What is patient's frequency of disruptive behavior symptoms?,2.0,2,Once a month,54.0,,,,,,
128,m1745_beh_prob_freq,m1745_beh_prob_freq_3,child,37,selectbox,What is patient's frequency of disruptive behavior symptoms?,3.0,3,Several times each month,55.0,,,,,,
129,m1745_beh_prob_freq,m1745_beh_prob_freq_4,child,37,selectbox,What is patient's frequency of disruptive behavior symptoms?,4.0,4,Several times a week,56.0,,,,,,
130,m1745_beh_prob_freq,m1745_beh_prob_freq_5,child,37,selectbox,What is patient's frequency of disruptive behavior symptoms?,5.0,5,Is at least daily,57.0,,,,,,
131,m1840_crnt_toiltg,m1840_crnt_toiltg_0,child,38,selectbox,What is patient's current ability to get to and from toilet or bed side commode safely and transfer on and off toilet/commode?,0.0,0,Able to get to and from the toilet and transfer independently with or without a device,58.0,,,,,,
132,m1840_crnt_toiltg,m1840_crnt_toiltg_1,child,38,selectbox,What is patient's current ability to get to and from toilet or bed side commode safely and transfer on and off toilet/commode?,1.0,1,Able to get to and from the toilet and transfer,59.0,,,,,,
133,m1840_crnt_toiltg,m1840_crnt_toiltg_2,child,38,selectbox,What is patient's current ability to get to and from toilet or bed side commode safely and transfer on and off toilet/commode?,2.0,2,Unable to get to and from the toilet but is able to use a bedside commode (with or without assistance),,,,,,,
134,m1840_crnt_toiltg,m1840_crnt_toiltg_3,child,38,selectbox,What is patient's current ability to get to and from toilet or bed side commode safely and transfer on and off toilet/commode?,3.0,3,Unable to get to and from the toilet or bedside commode but is able to use a bedpan/urinal independently,,,,,,,
135,m1840_crnt_toiltg,m1840_crnt_toiltg_4,child,38,selectbox,What is patient's current ability to get to and from toilet or bed side commode safely and transfer on and off toilet/commode?,4.0,4,Totally dependent in toileting,,,,,,,
136,m1870_crnt_feeding,m1870_crnt_feeding_0,child,39,selectbox,What is the patient's current ability to feed self meals and snacks safely?,0.0,0,Independently feed self,60.0,,,,,,
137,m1870_crnt_feeding,m1870_crnt_feeding_1,child,39,selectbox,What is the patient's current ability to feed self meals and snacks safely?,1.0,1,"Able to feed self independently but requires: (a) meal set-up; OR (b) intermittent assistance or supervision from another person; OR (c) a liquid, pureed or ground meat diet",,,,,,,
138,m1870_crnt_feeding,m1870_crnt_feeding_2,child,39,selectbox,What is the patient's current ability to feed self meals and snacks safely?,2.0,2,Unable to feed self and must be assisted or supervised throughout the meal/snack,,,,,,,
139,m1870_crnt_feeding,m1870_crnt_feeding_3,child,39,selectbox,What is the patient's current ability to feed self meals and snacks safely?,3.0,3,Able to take in nutrients orally and receives supplemental nutrients through a nasogastric tube or gastrostomy,61.0,,,,,,
140,m1870_crnt_feeding,m1870_crnt_feeding_4,child,39,selectbox,What is the patient's current ability to feed self meals and snacks safely?,4.0,4,Unable to take in nutrients orally and is fed nutrients through a nasogastric tube or gastrostomy,62.0,,,,,,
141,m1870_crnt_feeding,m1870_crnt_feeding_5,child,39,selectbox,What is the patient's current ability to feed self meals and snacks safely?,5.0,5,Unable to take in nutrients orally or by tube feeding,63.0,,,,,,
142,m2001_drug_rgmn_rvw,m2001_drug_rgmn_rvw_0,child,40,selectbox,Has the patient's drug regimen review completed?,0.0,0,Review was completed with no issues found during review,,,,,,,
143,m2001_drug_rgmn_rvw,m2001_drug_rgmn_rvw_1,child,40,selectbox,Has the patient's drug regimen review completed?,1.0,1,Review was completed with issues found during review,64.0,,,,,,
144,m2010_high_risk_drug_edctn,m2010_high_risk_drug_edctn_0,child,41,selectbox,Has patient and or caregiver received instruction on special precautions for all high-risk medications?,0.0,0,Did not received instruction on special precautions for all high-risk medications,,,,,,,
145,m2010_high_risk_drug_edctn,m2010_high_risk_drug_edctn_1,child,41,selectbox,Has patient and or caregiver received instruction on special precautions for all high-risk medications?,1.0,1,Received instruction on special precautions for all high-risk medications,,,,,,,
146,m2030_crnt_mgmt_injctn_mdctn,m2030_crnt_mgmt_injctn_mdctn_0,child,42,selectbox,What is patient's current ability to prepare and take all prescribed injectable medications reliably and safely?,0.0,0,Able to independently take the correct oral medication(s) and proper dosage(s) at the correct times,65.0,,,,,,
147,m2030_crnt_mgmt_injctn_mdctn,m2030_crnt_mgmt_injctn_mdctn_1,child,42,selectbox,What is patient's current ability to prepare and take all prescribed injectable medications reliably and safely?,1.0,1,Able to take injectable medication(s) at the correct times if: (a) individual dosages are prepared in advance by another person; OR (b) another person develops a drug diary or chart,66.0,,,,,,
