var_feature,feature_order,score_max,question_type,model_input,question,question_option
m1620_bwl_incont_1,35.0,,child,0.0,What is patient's frequency of bowel incontinence?,Less than once weekly
m1700_cog_function_0,36.0,,child,1.0,What is the patient's current level of cognitive functioning?,"Alert/oriented, able to focus and shift attention, comprehends and recalls task directions independently"
m1700_cog_function_2,37.0,,child,0.0,What is the patient's current level of cognitive functioning?,"Requires assistance and some direction in specific situations (e.g., on all tasks involving shifting of attention), or consistently requires low stimulus environment due to distractibility"
m1700_cog_function_3,38.0,,child,0.0,What is the patient's current level of cognitive functioning?,Requires considerable assistance in routine situations. Is not alert and oriented or is unable to shift attention and recall directions more than half the time
m1700_cog_function_4,39.0,,child,0.0,What is the patient's current level of cognitive functioning?,"Totally dependent due to disturbances such as constant disorientation, coma, persistent vegetative state, or delirium"
m1710_when_confused_0,40.0,,child,1.0,"Has patient been confused, reported or observed, within the last 14 days?",Is not confused
m1710_when_confused_2,41.0,,child,0.0,"Has patient been confused, reported or observed, within the last 14 days?",Confused (reported or observed within the last 14 days) on awakening or at night only
m1710_when_confused_4,42.0,,child,0.0,"Has patient been confused, reported or observed, within the last 14 days?",Is confused constantly
m1710_when_confused_5,43.0,,child,0.0,"Has patient been confused, reported or observed, within the last 14 days?",Is nonresponsive so cannot tell if confused
m1720_when_anxious_0,44.0,,child,1.0,"Has patient been anxious, reported or observed, within the last 14 days?",Not anxious
m1720_when_anxious_1,45.0,,child,0.0,"Has patient been anxious, reported or observed, within the last 14 days?",Is anxious less often than daily
m1720_when_anxious_2,46.0,,child,0.0,"Has patient been anxious, reported or observed, within the last 14 days?","Anxious daily, but not constantly"
m1720_when_anxious_3,47.0,,child,0.0,"Has patient been anxious, reported or observed, within the last 14 days?",Anxious all of the time
m1730_phq2_dprsn_2,48.0,,child,0.0,"Is patient currently bothered by feeling down, depressed, or hopeless?",More Than Half (7-11) Of The Days
m1730_phq2_dprsn_3,49.0,,child,0.0,"Is patient currently bothered by feeling down, depressed, or hopeless?",Nearly Every (12-14) Day
m1730_phq2_lack_intrst_2,50.0,,child,0.0,Is patient currently bothered by little interest or pleasure in doing things?,More Than Half (7-11) Of The Days
m1730_phq2_lack_intrst_3,51.0,,child,0.0,Is patient currently bothered by little interest or pleasure in doing things?,Nearly Every (12-14) Days
m1740_bd_mem_deficit_1,52.0,,child,0.0,Has patient had a memory deficit demonstrated at least once a week?,Has memory deficit that has been demonstrated at least once a week
m1745_beh_prob_freq_1,53.0,,child,0.0,What is patient's frequency of disruptive behavior symptoms?,Less than once a month
m1745_beh_prob_freq_2,54.0,,child,0.0,What is patient's frequency of disruptive behavior symptoms?,Once a month
m1745_beh_prob_freq_3,55.0,,child,0.0,What is patient's frequency of disruptive behavior symptoms?,Several times each month
m1745_beh_prob_freq_4,56.0,,child,0.0,What is patient's frequency of disruptive behavior symptoms?,Several times a week
m1745_beh_prob_freq_5,57.0,,child,0.0,What is patient's frequency of disruptive behavior symptoms?,Is at least daily
m1840_crnt_toiltg_0,58.0,,child,1.0,What is patient's current ability to get to and from toilet or bed side commode safely and transfer on and off toilet/commode?,Able to get to and from the toilet and transfer independently with or without a device
m1840_crnt_toiltg_1,59.0,,child,0.0,What is patient's current ability to get to and from toilet or bed side commode safely and transfer on and off toilet/commode?,Able to get to and from the toilet and transfer
m1870_crnt_feeding_0,60.0,,child,1.0,What is the patient's current ability to feed self meals and snacks safely?,Independently feed self
m1870_crnt_feeding_3,61.0,,child,0.0,What is the patient's current ability to feed self meals and snacks safely?,Able to take in nutrients orally and receives supplemental nutrients through a nasogastric tube or gastrostomy
m1870_crnt_feeding_4,62.0,,child,0.0,What is the patient's current ability to feed self meals and snacks safely?,Unable to take in nutrients orally and is fed nutrients through a nasogastric tube or gastrostomy
m1870_crnt_feeding_5,63.0,,child,0.0,What is the patient's current ability to feed self meals and snacks safely?,Unable to take in nutrients orally or by tube feeding
m2001_drug_rgmn_rvw_1,64.0,,child,0.0,Has the patient's drug regimen review completed?,Review was completed with issues found during review
m2030_crnt_mgmt_injctn_mdctn_0,65.0,,child,1.0,What is patient's current ability to prepare and take all prescribed injectable medications reliably and safely?,Able to independently take the correct oral medication(s) and proper dosage(s) at the correct times
m2030_crnt_mgmt_injctn_mdctn_1,66.0,,child,0.0,What is patient's current ability to prepare and take all prescribed injectable medications reliably and safely?,Able to take injectable medication(s) at the correct times if: (a) individual dosages are prepared in advance by another person; OR (b) another person develops a drug diary or chart
m2030_crnt_mgmt_injctn_mdctn_2,67.0,,child,0.0,What is patient's current ability to prepare and take all prescribed injectable medications reliably and safely?,Able to take medication(s) at the correct times if given reminders by another person at the appropriate times based on the frequency of the injection
m2030_crnt_mgmt_injctn_mdctn_3,68.0,,child,0.0,What is patient's current ability to prepare and take all prescribed injectable medications reliably and safely?,Unable to take injectable medication unless administered by another person
num_of_episodes,69.0,16.0,value,0.125,How many episodes of care did the patient receive for a particular type of medical treatment or care that spawned this home health visit?,value
o2_sat,70.0,100.0,value,0.95,What is the patient's oxygen saturation?,value
primary_diag_clinical_group_complex_1,71.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Complex Medical and Surgical
primary_diag_clinical_group_mmta_after_1,72.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Surgical After Care
primary_diag_clinical_group_mmta_endo_1,73.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Endocrine
primary_diag_clinical_group_mmta_gi_gu_1,74.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Gastrointestinal or Genitourinary
primary_diag_clinical_group_mmta_other_1,75.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Other
primary_diag_clinical_group_mmta_resp_1,76.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Respiratory
primary_diag_clinical_group_ms_rehab_1,77.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Musculoskeletal Rehabilitation
primary_diag_clinical_group_nan_1,78.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Not Available
primary_diag_clinical_group_neuro_rehab_1,79.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Neuro/Stroke Rehabilitation
primary_diag_clinical_group_wound_1,80.0,,parent,0.0,What is the patient's active diagnoses? (Check all that apply),Wounds
pulse,81.0,174.0,value,0.4425287356321839,What is the patient's pulse rate?,value
systolic,82.0,250.0,value,0.5,What is the patient's systolic blood pressure?,value
